lon,lat,olc_id
28.3233125,-16.0888125,5GMCW86F+F8G
26.0985625,-15.8674375,5GP843MX+2CM
38.9889375,-0.102437500000008,6GFWVXXQ+2HM
38.3325625,4.1609375,6GPW586M+927
-5.5311875,11.2754375,7C3P7FG9+5GV
-5.4698125,11.3496875,7C3P8GXJ+V3Q
10.2281875,5.3030625,6FQG863H+67M
39.5133125,-2.64593750000002,6G9X9G37+J86
39.5366875,-2.64418750000002,6G9X9G4P+8MM
35.7974375,-1.7495625,6GCQ7Q2W+5XX
35.8211875,-1.7476875,6GCQ7R2C+WFV
-13.4013125,10.5243125,7C28GHFX+PFH
-13.3803125,10.5213125,7C28GJC9+GVX
-13.1338125,11.9281875,7C38WVH8+7FR
-13.1071875,11.9281875,7C38WVHV+74J
23.9831875,-29.8379375,5G255X6M+R7P
48.6935625,-18.3470625,5HHCMM3V+5C9
48.7534375,-18.2981875,5HHCPQ23+P96
1.73156249999998,13.4184375,7F53CP9J+9J8
8.11956250000001,11.3070625,7F3C8449+RRW
8.14831250000002,11.3126875,7F3C847X+386
5.6765625,9.2330625,6FX76MMG+6JF
5.71131249999998,9.17581250000001,6FX75PG6+8G5
15.7178125,-7.3106875,6F4QMPQ9+P4X
15.7400625,-7.3155625,6F4QMPMR+Q2M
14.9324375,-16.2191875,5FMPQWJJ+8X9
14.9459375,-16.2213125,5FMPQWHW+F9G
15.9524375,-11.7541875,5FWQ6XW2+8X2
15.1435625,-12.3398125,5FVQM46V+3C5
34.3314375,-24.2226875,5G7PQ8GJ+WH8
34.3448125,-24.2118125,5G7PQ8QV+7WG
29.4091875,-18.0660625,5GHFWCM5+HMW
29.4294375,-18.0663125,5GHFWCMH+FQQ
-7.82306249999998,14.8310625,7C6JR5JG+CQ7
-7.80981250000001,14.8364375,7C6JR5PR+H3R
28.7671875,-19.4275625,5GGCHQC8+XVH
28.7945625,-19.4101875,5GGCHQQV+WRM
26.4956875,-21.7231875,5GC87FGW+P7G
26.5229375,-21.7309375,5GC87G9F+J52
22.0829375,-19.3685625,5GG4J3JM+H52
31.8338125,-17.8199375,5GJH5RJM+2GM
36.0918125,-6.9306875,6G5R339R+PP8
36.0866875,-6.90831249999999,6G5R33RP+MM2
36.0906875,-6.88356250000001,6G5R438R+H7Q
36.0994375,-6.86681250000001,6G5R43MX+7QG
36.1165625,-6.91081250000001,6G5R34Q8+MJ6
36.1221875,-6.8895625,6G5R446C+5VH
36.1183125,-6.86181250000001,6G5R44Q9+78W
36.1356875,-6.93118750000001,6G5R349P+G78
36.1371875,-6.9051875,6G5R34VP+WV4
36.1374375,-6.88656250000001,6G5R447P+9XC
36.1634375,-6.9049375,6G5R35W7+292
36.1669375,-6.8844375,6G5R4588+6QH
36.4401875,-6.12606250000002,6G5RVCFR+H3W
36.4404375,-6.06393749999999,6G5RWCPR+C5H
36.4438125,-6.0469375,6G5RXC3V+6GH
36.4576875,-6.11743750000001,6G5RVFM5+234
36.4633125,-6.08818749999999,6G5RWF67+P86
36.4863125,-6.0961875,6G5RWF3P+GG7
36.4918125,-6.0698125,6G5RWFJR+3PF
36.4909375,-6.05856249999999,6G5RWFRR+H9P
36.5064375,-6.12218750000001,6G5RVGH4+4HR
36.5084375,-6.0905625,6G5RWG55+Q94
36.5066875,-6.0798125,6G5RWGC4+3M4
36.5134375,-6.0536875,6G5RWGW7+G95
37.4450625,-5.38106250000001,6G6VJC9W+H2P
37.4489375,-5.3525625,6G6VJCWX+XHW
37.4539375,-5.3340625,6G6VMF83+9HM
37.4506875,-5.3190625,6G6VMFJ2+97R
37.4691875,-5.38243750000001,6G6VJF99+2M9
37.4660625,-5.3533125,6G6VJFW8+MCF
37.4966875,-5.38181250000001,6G6VJF9W+7MW
37.4969375,-5.36243750000001,6G6VJFQW+2Q2
37.4925625,-5.3118125,6G6VMFQV+726
37.5150625,-5.37793750000002,6G6VJGC8+R2H
37.5098125,-5.3568125,6G6VJGV5+7WQ
35.1269375,-11.1226875,5GWQV4GG+WQC
35.1301875,-11.0996875,5GWQW42J+43W
35.1254375,-11.0745625,5GWQW4GG+55R
35.1265625,-11.0596875,5GWQW4RG+4J9
35.1456875,-11.1231875,5GWQV4GW+P78
35.1498125,-11.1060625,5GWQV4VX+HW3
35.1518125,-11.0794375,5GWQW5C2+6PM
35.1516875,-11.0570625,5GWQW5V2+5M5
35.1740625,-11.1173125,5GWQV5MF+3JH
35.1723125,-11.1050625,5GWQV5VC+XW7
35.1693125,-11.0794375,5GWQW5C9+6PM
35.1694375,-11.0580625,5GWQW5R9+QQ9
35.2006875,-11.1290625,5GWQV6C2+978
35.1951875,-11.0988125,5GWQW52W+F3P
35.1931875,-11.0614375,5GWQW5QV+C74
-11.0331875,14.7700625,7C6CQXC8+2PQ
-11.0358125,14.8003125,7C6CRX27+4M4
-11.0335625,14.8368125,7C6CRXP8+PH7
-11.0109375,14.7658125,7C6CQX8Q+8JJ
-11.0118125,14.8001875,7C6CRX2Q+379
-11.0085625,14.8244375,7C6CRXFR+QHP
